St  Name                           Version                        Arch   Description                                                  Licenses
ii  libmenu-cache3:armhf           1.0.2-3                        armhf  LXDE implementation of the freedesktop Menu's cache          GPL-3+ LGPL-2.1+
ii  libmicrodns0:armhf             0.0.3-3                        armhf  minimal mDNS resolver and announcer library (shared library) ISC LGPL-2.1+
ii  libmikmod3:armhf               3.3.10-1                       armhf  Portable sound library                                       LGPL-2.0+ MIT permissive
ii  libmjpegutils-2.1-0            1:2.1.0+debian-5               armhf  MJPEG capture/editing/replay and MPEG encoding toolset (libr GPL LGPL
ii  libmms0:armhf                  0.6.4-2                        armhf  MMS stream protocol library - shared library                 LGPL-2+
ii  libmnl-dev                     1.0.4-2                        armhf  minimalistic Netlink communication library (devel)           GPL-2+ LGPL-2.1
ii  libmnl0:armhf                  1.0.4-2                        armhf  minimalistic Netlink communication library                   GPL-2+ LGPL-2.1
ii  libmodplug1:armhf              1:0.8.8.5-3                    armhf  shared libraries for mod music based on ModPlug              Public Domain
ii  libmount1:armhf                2.29.2-1+deb9u1                armhf  device mounting library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libmp3lame0:armhf              3.99.5+repack1-9               armhf  MP3 encoding library                                         BSD-3-clause GPL-1+ LGPL-2+ LGPL-2.1+ zlib/libpng
ii  libmpc3:armhf                  1.0.3-1                        armhf  multiple precision complex floating-point library            LGPL-2.1
ii  libmpcdec6:armhf               2:0.1~r495-1                   armhf  MusePack decoder - library                                   GPL-2 LGPL-2.1
ii  libmpdec2:armhf                2.4.2-1                        armhf  library for decimal floating point arithmetic (runtime libra BSD GPL-2+
ii  libmpeg2-4:armhf               0.5.1-7                        armhf  MPEG1 and MPEG2 video decoder library                        GPL
ii  libmpeg2encpp-2.1-0            1:2.1.0+debian-5               armhf  MJPEG capture/editing/replay and MPEG encoding toolset (libr GPL LGPL
ii  libmpfr4:armhf                 3.1.5-1                        armhf  multiple precision floating-point computation                GFDL-1.2 LGPL-3
ii  libmpg123-0:armhf              1.23.8-1                       armhf  MPEG layer 1/2/3 audio decoder (shared library)              LGPL-2.1
ii  libmplex2-2.1-0                1:2.1.0+debian-5               armhf  MJPEG capture/editing/replay and MPEG encoding toolset (libr GPL LGPL
ii  libmtdev1:armhf                1.1.5-1                        armhf  Multitouch Protocol Translation Library - shared library     MIT license MIT License
ii  libmtp-common                  1.1.13-1                       all    Media Transfer Protocol (MTP) common files                   GPL-2+ LGPL-2+ LGPL-2.1+
ii  libmtp-runtime                 1.1.13-1                       armhf  Media Transfer Protocol (MTP) runtime tools                  GPL-2+ LGPL-2+ LGPL-2.1+
ii  libmtp9:armhf                  1.1.13-1                       armhf  Media Transfer Protocol (MTP) library                        GPL-2+ LGPL-2+ LGPL-2.1+
ii  libncurses5:armhf              6.0+20161126-1+deb9u2          armhf  shared libraries for terminal handling                       unknown
ii  libncursesw5:armhf             6.0+20161126-1+deb9u2          armhf  shared libraries for terminal handling (wide character suppo unknown
ii  libnetfilter-conntrack3:armhf  1.0.6-2                        armhf  Netfilter netlink-conntrack library                          GPL-2+
ii  libnettle6:armhf               3.3-1                          armhf  low level cryptographic library (symmetric and one-way crypt GAP GPL-2 GPL-2+ GPL-2+ with Autoconf exception LGPL-2+ LGPL-2.1+ other public-domain
ii  libnewt0.52:armhf              0.52.19-1                      armhf  Not Erik's Windowing Toolkit - text mode windowing with slan LGPL-2
ii  libnfnetlink0:armhf            1.0.1-3                        armhf  Netfilter netlink library                                    GPL
ii  libnfs8:armhf                  1.11.0-2                       armhf  NFS client library (shared library)                          BSD-2-clause GPL-3+ LGPL-2.1+ MIT/X11 (BSD like)
ii  libnfsidmap2:armhf             0.25-5.1                       armhf  NFS idmapping library                                        unknown
ii  libnghttp2-14:armhf            1.18.1-1                       armhf  library implementing HTTP/2 protocol (shared library)        all-permissive BSD-2-clause Expat GPL-3+ with autoconf exception MIT SIL-OFL-1.1
ii  libnih-dbus1                   1.0.3-8                        armhf  NIH D-Bus Bindings Library                                   GPL-2
ii  libnih1                        1.0.3-8                        armhf  NIH Utility Library                                          GPL-2
ii  libnl-3-200:armhf              3.2.27-2                       armhf  library for dealing with netlink sockets                     GPL-2 LGPL-2.1
ii  libnl-genl-3-200:armhf         3.2.27-2                       armhf  library for dealing with netlink sockets - generic netlink   GPL-2 LGPL-2.1
ii  libnotify4:armhf               0.7.7-2                        armhf  sends desktop notifications to a notification daemon         LGPL-2.1
ii  libnpth0:armhf                 1.3-1                          armhf  replacement for GNU Pth using system threads                 GPL-2+ GPL-2+ or LGPL-3+ LGPL-3+
ii  libnspr4:armhf                 2:4.12-6                       armhf  NetScape Portable Runtime Library                            Mozilla Public License
ii  libnss-mdns:armhf              0.10-8                         armhf  NSS module for Multicast DNS name resolution                 LGPL-2+
ii  libnss-mymachines:armhf        232-25+deb9u8                  armhf  nss module to resolve hostnames for local container instance CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libnss3:armhf                  2:3.26.2-1.1+deb9u1            armhf  Network Security Service libraries                           Mozilla Public License
ii  liboauth0:armhf                1.0.1-1+b1                     armhf  C library for implementing OAuth 1.0                         MIT
ii  libobrender32v5                3.6.1-4+rpi9                   armhf  rendering library for openbox themes                         BSD-3-clause GPL-2+
ii  libobt2v5                      3.6.1-4+rpi9                   armhf  parsing library for openbox                                  BSD-3-clause GPL-2+
ii  libofa0:armhf                  0.9.3-15                       armhf  library for acoustic fingerprinting                          APL-1.0 APL-1.0 or GPL-2 GPL-2+ GPL-2 or GPL-2+ LGPL-2.1+ public-domain
ii  libogg0:armhf                  1.3.2-1                        armhf  Ogg bitstream library                                        unknown
ii  libopenal-data                 1:1.17.2-4                     all    Software implementation of the OpenAL audio API (data files) Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopenal1:armhf               1:1.17.2-4                     armhf  Software implementation of the OpenAL audio API (shared libr Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopencv-calib3d2.4v5:armhf   2.4.9.1+dfsg1-2                armhf  computer vision Camera Calibration library                   unknown
ii  libopencv-core2.4v5:armhf      2.4.9.1+dfsg1-2                armhf  computer vision core library                                 unknown
ii  libopencv-features2d2.4v5:armh 2.4.9.1+dfsg1-2                armhf  computer vision Feature Detection and Descriptor Extraction  unknown
ii  libopencv-flann2.4v5:armhf     2.4.9.1+dfsg1-2                armhf  computer vision Clustering and Search in Multi-Dimensional s unknown
ii  libopencv-highgui2.4-deb0:armh 2.4.9.1+dfsg1-2                armhf  computer vision High-level GUI and Media I/O library         unknown
ii  libopencv-imgproc2.4v5:armhf   2.4.9.1+dfsg1-2                armhf  computer vision Image Processing library                     unknown
ii  libopencv-objdetect2.4v5:armhf 2.4.9.1+dfsg1-2                armhf  computer vision Object Detection library                     unknown
ii  libopencv-video2.4v5:armhf     2.4.9.1+dfsg1-2                armhf  computer vision Video analysis library                       unknown
ii  libopenexr22:armhf             2.2.0-11                       armhf  runtime files for the OpenEXR image library                  openexr
ii  libopenjp2-7:armhf             2.1.2-1.1+deb9u2               armhf  JPEG 2000 image compression/decompression library            BSD-2 BSD-3 LIBPNG LIBTIFF LIBTIFF-GLARSON LIBTIFF-PIXAR MIT public-domain ZLIB
ii  libopenmpt-modplug1:armhf      0.2.7386~beta20.3-3+deb9u3     armhf  module music library based on OpenMPT -- modplug compat libr BSD-3-clause GNU-All-Permissive-License GNU-All-Permissive-License-FSF GPL2+-libtool GPL2+-with-Autoconf-exception GPL3+-with-Autoconf-exception GPL3+-with-Autoconf-Macros-exception X11
ii  libopenmpt0:armhf              0.2.7386~beta20.3-3+deb9u3     armhf  module music library based on OpenMPT -- shared library      BSD-3-clause GNU-All-Permissive-License GNU-All-Permissive-License-FSF GPL2+-libtool GPL2+-with-Autoconf-exception GPL3+-with-Autoconf-exception GPL3+-with-Autoconf-Macros-exception X11
ii  libopus0:armhf                 1.2~alpha2-1                   armhf  Opus codec runtime library                                   unknown
ii  liborc-0.4-0:armhf             1:0.4.26-2                     armhf  Library of Optimized Inner Loops Runtime Compiler            unknown
ii  libossp-uuid16:armhf           1.6.2-1.5+b3                   armhf  OSSP uuid ISO-C and C++ - shared library                     unknown
ii  libp11-kit0:armhf              0.23.3-2                       armhf  library for loading and coordinating access to PKCS#11 modul BSD-3-Clause ISC ISC+IBM permissive-like-automake-output same-as-rest-of-p11kit
ii  libpackagekit-glib2-18:armhf   1.1.5-2+deb9u1                 armhf  Library for accessing PackageKit using GLib                  GPL-2+ LGPL-2.1+
ii  libpam-chksshpwd:armhf         1.1.8-3.6+rpi1                 armhf  PAM module to enable SSH password checking support           GPL
ii  libpam-modules:armhf           1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules for PAM                     GPL
ii  libpam-modules-bin             1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules for PAM - helper binaries   GPL
ii  libpam-runtime                 1.1.8-3.6+rpi1                 all    Runtime support for the PAM library                          GPL
ii  libpam-systemd:armhf           232-25+deb9u8                  armhf  system and service manager - PAM module                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libpam0g:armhf                 1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules library                     GPL
ii  libpango-1.0-0:armhf           1.40.5-1                       armhf  Layout and rendering of internationalized text               LGPL-2 LGPL-2.1
ii  libpango1.0-0:armhf            1.40.5-1                       armhf  Layout and rendering of internationalized text (transitional LGPL-2 LGPL-2.1
